paragraph_id,subject,subject_cui,subject_type,relation,object,object_cui,object_type,rule_valid,gemini_verdict
33990,tumor-induced osteomalacia,C1274103,Disease or Syndrome,IS_A,hypophosphatemic disorder,C0085682,Disease or Syndrome,False,True
33990,tumors,C0027651,Neoplastic Process,PRODUCES,fgf23,C1414605,Gene or Genome,False,True
33990,resection,C0015252,Therapeutic or Preventive Procedure,MANAGES,hypophosphatemic syndrome,C0085682,Disease or Syndrome,False,True
33990,mrna,C0035696,"Nucleic Acid, Nucleoside, or Nucleotide",DERIVATIVE_OF,fgf23,C1414605,Gene or Genome,False,True
33990,tio,C1274103,Disease or Syndrome,AFFECTS,patients,C0030705,Patient or Disabled Group,False,True
33990,patients,C0030705,Patient or Disabled Group,EXHIBITS,fgf23,C1414605,Gene or Genome,False,True
33990,fgf23,C1414605,Gene or Genome,OCCURS_IN,blood,C0005767,Body Substance,False,True
33991,inactivating mutations,C4505106,Genetic Function,AFFECTS,clcn5,C1413454,Gene or Genome,False,True
33991,clcn5,C1413454,Gene or Genome,IS_A,chloride transporter,C1159591,Cell Function,False,True
33991,chloride transporter,C1159591,Cell Function,OCCURS_IN,endosomes,C0034850,Cell Component,False,True
33991,dent’s disease,C0878681,Disease or Syndrome,EXHIBITS,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33991,dent’s disease,C0878681,Disease or Syndrome,EXHIBITS,recurrent kidney stones,C0022650,Disease or Syndrome,False,True
33991,alcoholics,C0687725,Patient or Disabled Group,ASSOCIATED_WITH,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33992,hypophosphatemia,C0085682,Disease or Syndrome,ASSOCIATED_WITH,phosphate,C0031603,Inorganic Chemical,False,True
33992,hypophosphatemia,C0085682,Disease or Syndrome,ASSOCIATED_WITH,electrolytes,C0013832,Pharmacologic Substance,False,True
33993,bone,C0005931,Tissue,ASSOCIATED_WITH,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33993,bone,C0005931,Tissue,ASSOCIATED_WITH,alkaline phosphatase,C0002059,"Amino Acid, Peptide, or Protein",False,True
33993,osteoblastic metastases,C0027627,Neoplastic Process,CAUSES,syndrome,C0039082,Disease or Syndrome,False,True
33993,syndrome,C0039082,Disease or Syndrome,IS_A,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33994,hypophosphatemia,C0085682,Disease or Syndrome,EXHIBITS,clinical manifestations,C0029166,Sign or Symptom,False,True
33994,hypophosphatemia,C0085682,Disease or Syndrome,DISRUPTS,cellular energy metabolism,C1524026,Cell Function,False,True
33994,hypophosphatemia,C0085682,Disease or Syndrome,AFFECTS,tissue,C0040300,Tissue,False,True
33994,hospitalized patients,C0870668,Patient or Disabled Group,ASSOCIATED_WITH,surgical illness,C0543467,Therapeutic or Preventive Procedure,False,True
33994,phosphate,C0031603,Inorganic Chemical,RESULT_OF,urinary losses,C0042027,"Body Part, Organ, or Organ Component",False,True
33994,phosphate,C0031603,Inorganic Chemical,RESULT_OF,malabsorption,C0024523,Disease or Syndrome,False,True
33994,phosphate,C0031603,Inorganic Chemical,RESULT_OF,malnutrition,C0162429,Disease or Syndrome,False,True
33994,chronic hypophosphatemia,C0085682,Disease or Syndrome,EXHIBITS,musculoskeletal complaints,C1390523,Pathologic Function,False,True
33994,musculoskeletal complaints,C1390523,Pathologic Function,CONSISTS_OF,bone pain,C0151825,Sign or Symptom,False,True
33994,musculoskeletal complaints,C1390523,Pathologic Function,CONSISTS_OF,osteomalacia,C0029442,Disease or Syndrome,False,True
33994,musculoskeletal complaints,C1390523,Pathologic Function,CONSISTS_OF,pseudo-fractures,C4021028,Anatomical Abnormality,False,True
33994,chronic hypophosphatemia,C0085682,Disease or Syndrome,EXHIBITS,bone pain,C0151825,Sign or Symptom,False,True
33994,chronic hypophosphatemia,C0085682,Disease or Syndrome,EXHIBITS,osteomalacia,C0029442,Disease or Syndrome,False,True
33994,chronic hypophosphatemia,C0085682,Disease or Syndrome,EXHIBITS,pseudo-fractures,C4021028,Anatomical Abnormality,False,True
33994,children,C0008059,Age Group,ASSOCIATED_WITH,rickets,C0035579,Disease or Syndrome,False,True
33994,children,C0008059,Age Group,ASSOCIATED_WITH,short stature,C0013336,Disease or Syndrome,False,True
33995,death,C0011065,Organism Function,MANIFESTATION_OF,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33995,acute hypophosphatemia,C0085682,Disease or Syndrome,AFFECTS,creatine phosphokinase,C0010287,"Amino Acid, Peptide, or Protein",False,True
33995,myocytes,C0596981,Cell,PRODUCES,phosphate,C0031603,Inorganic Chemical,False,True
33995,phosphate,C0031603,Inorganic Chemical,TREATS,respiratory failure,C1145670,Disease or Syndrome,False,True
33995,hypophosphatemia,C0085682,Disease or Syndrome,DISRUPTS,calcium,C0006675,Pharmacologic Substance,False,True
33995,microspherocytosis,C4025285,Disease or Syndrome,OCCURS_IN,erythrocyte,C0014792,Cell,False,True
33996,hypophosphatemia,C0085682,Disease or Syndrome,ASSOCIATED_WITH,phosphate depletion,C0031603,Inorganic Chemical,False,True
33996,iv,C0021440,Therapeutic or Preventive Procedure,METHOD_OF,phosphate,C0031603,Inorganic Chemical,False,True
33996,monitored,C0181904,Medical Device,MEASURES,phosphate,C0031603,Inorganic Chemical,False,True
33996,monitored,C0181904,Medical Device,MEASURES,calcium,C0006675,Pharmacologic Substance,False,True
33996,oral phosphate,C0031603,Inorganic Chemical,TREATS,hypophosphatemia,C0085682,Disease or Syndrome,False,True
33996,oral phosphate,C0031603,Inorganic Chemical,CAUSES,diarrhea,C0011991,Sign or Symptom,False,True
33996,oral phosphate,C0031603,Inorganic Chemical,CONSISTS_OF,elemental phosphorus,C0031705,"Element, Ion, or Isotope",False,True
33997,vitamin d deficiency,C0042870,Disease or Syndrome,CAUSES,secondary hyperparathyroidism,C0020503,Disease or Syndrome,False,True
